college,sport,city,division,enrollment_male,enrollment_female,enrollment_total,college_type,gender,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team, revenue_male,revenue_female,expense_male,expense_female
Ithaca College,All Track Combined,Ithaca,NCAA Division III (with football),"2,551","3,452","6,003","Private nonprofit, 4-year or above",Men,129,,$781 ,"$100,694 ",,,"$221,163 ",,"$221,163 ",
LIU Post,All Track Combined,Brookville,NCAA Division II (with football),"1,317","2,038","3,355","Private nonprofit, 4-year or above",Men,34,,"$1,228 ","$41,757 ",,,"$210,952 ",,"$210,952 ",
St Francis College,All Track Combined,Brooklyn Heights,NCAA Division I-AAA,"1,059","1,354","2,413","Private nonprofit, 4-year or above",Men,41,,"$1,270 ","$52,050 ",,,"$178,758 ",,"$178,758 ",
Colgate University,All Track Combined,Hamilton,NCAA Division I-AA,"1,305","1,558","2,863","Private nonprofit, 4-year or above",Men,81,,$691 ,"$56,004 ",,,"$178,297 ",,"$178,297 ",
Rensselaer Polytechnic Institute,All Track Combined,Troy,NCAA Division III (with football),"3,861","1,695","5,556","Private nonprofit, 4-year or above",Men,168,,$548 ,"$91,981 ",,,"$197,136 ",,"$172,919 ",
University of Rochester,All Track Combined,Rochester,NCAA Division III (with football),"2,958","2,953","5,911","Private nonprofit, 4-year or above",Men,128,,$518 ,"$66,319 ",,,"$156,791 ",,"$156,791 ",
Utica College,All Track Combined,Utica,NCAA Division III (with football),969,"1,227","2,196","Private nonprofit, 4-year or above",Men,98,,$503 ,"$49,245 ",,,"$154,636 ",,"$153,761 ",
Canisius College,All Track Combined,Buffalo,NCAA Division I-AAA,"1,251","1,449","2,700","Private nonprofit, 4-year or above",Men,58,,$626 ,"$36,300 ",,,"$148,951 ",,"$148,951 ",
SUNY at Fredonia,All Track Combined,Fredonia,NCAA Division III (without football),"2,174","2,621","4,795","Public, 4-year or above",Men,100,,$918 ,"$91,845 ",,,"$144,099 ",,"$144,099 ",
SUNY College at Geneseo,All Track Combined,Geneseo,NCAA Division III (without football),"2,278","3,136","5,414","Public, 4-year or above",Men,128,,$621 ,"$79,494 ",,,"$138,958 ",,"$139,062 ",
Bryant & Stratton College-Syracuse,All Track Combined,Syracuse,Other,135,254,389,"Private for-profit, 2-year",Men,22,,"$1,288 ","$28,325 ",,,"$135,770 ",,"$135,770 ",
SUNY Oneonta,All Track Combined,Oneonta,NCAA Division III (without football),"2,237","3,474","5,711","Public, 4-year or above",Men,102,,$594 ,"$60,553 ",,,"$135,386 ",,"$135,386 ",
Daemen College,All Track Combined,Amherst,NCAA Division II (without football),497,"1,179","1,676","Private nonprofit, 4-year or above",Men,66,,$384 ,"$25,369 ",,,"$131,848 ",,"$131,293 ",
SUNY College at Brockport,All Track Combined,Brockport,NCAA Division III (with football),"2,904","3,400","6,304","Public, 4-year or above",Men,114,,$506 ,"$57,627 ",,,"$125,497 ",,"$125,497 ",
SUNY Buffalo State,All Track Combined,Buffalo,NCAA Division III (with football),"3,485","4,793","8,278","Public, 4-year or above",Men,64,,$837 ,"$53,566 ",,,"$163,192 ",,"$104,143 ",
SUNY College at Oswego,All Track Combined,Oswego,NAIA Division III,"3,316","3,516","6,832","Public, 4-year or above",Men,92,,$400 ,"$36,829 ",,,"$95,825 ",,"$89,021 ",
Le Moyne College,All Track Combined,Syracuse,NCAA Division II (without football),"1,104","1,385","2,489","Private nonprofit, 4-year or above",Men,54,,$483 ,"$26,092 ",,,"$68,375 ",,"$71,111 ",
Houghton College,All Track Combined,Houghton,NCAA Division III (without football),352,641,993,"Private nonprofit, 4-year or above",Men,42,,$577 ,"$24,232 ",,,"$61,890 ",,"$61,890 ",
Union College,All Track Combined,Schenectady,NCAA Division III (with football),"1,193","1,009","2,202","Private nonprofit, 4-year or above",Men,93,,$236 ,"$21,907 ",,,"$38,933 ",,"$51,696 ",
Nazareth College,All Track Combined,Rochester,NCAA Division III (without football),535,"1,382","1,917","Private nonprofit, 4-year or above",Men,57,,$448 ,"$25,554 ",,,"$53,832 ",,"$50,362 ",
SUNY College of Technology at Delhi,All Track Combined,Delhi,NJCAA Division III,"1,432","1,222","2,654","Public, 4-year or above",Men,83,,$428 ,"$35,536 ",,,"$48,303 ",,"$48,303 ",
Saint Joseph's College-New York,All Track Combined,Brooklyn,NCAA Division III (without football),"1,103","2,118","3,221","Private nonprofit, 4-year or above",Men,56,,$677 ,"$37,906 ",,,"$48,251 ",,"$48,251 ",
CUNY York College,All Track Combined,Jamaica,NCAA Division III (without football),"1,736","3,333","5,069","Public, 4-year or above",Men,41,,$510 ,"$20,912 ",,,"$70,963 ",,"$37,793 ",
Mount Saint Mary College,All Track Combined,Newburgh,NCAA Division III (without football),522,"1,185","1,707","Private nonprofit, 4-year or above",Men,38,,$361 ,"$13,721 ",,,"$35,387 ",,"$34,979 ",
CUNY Lehman College,All Track Combined,Bronx,NCAA Division III (without football),"1,961","3,903","5,864","Public, 4-year or above",Men,41,,$104 ,"$4,274 ",,,"$31,356 ",,"$31,356 ",
CUNY Medgar Evers College,All Track Combined,Brooklyn,NCAA Division III (without football),"1,233","3,011","4,244","Public, 4-year or above",Men,35,,$356 ,"$12,466 ",,,"$30,354 ",,"$30,354 ",
CUNY Hunter College,All Track Combined,New York,NCAA Division III (without football),"4,261","7,804","12,065","Public, 4-year or above",Men,44,,$142 ,"$6,257 ",,,"$24,680 ",,"$24,680 ",
Cornell University,All Track Combined,Ithaca,NCAA Division I-AA,"6,976","7,206","14,182","Private nonprofit, 4-year or above",Women,,195,,,"$1,175 ","$229,138 ",,"$725,223 ",,"$725,223 "
Ithaca College,All Track Combined,Ithaca,NCAA Division III (with football),"2,551","3,452","6,003","Private nonprofit, 4-year or above",Women,,148,,,"$1,058 ","$156,553 ",,"$293,786 ",,"$293,786 "
Marist College,All Track Combined,Poughkeepsie,NCAA Division I-AA,"1,993","2,879","4,872","Private nonprofit, 4-year or above",Women,,130,,,$888 ,"$115,490 ",,"$400,503 ",,"$400,503 "
SUNY Oneonta,All Track Combined,Oneonta,NCAA Division III (without football),"2,237","3,474","5,711","Public, 4-year or above",Women,,128,,,$473 ,"$60,553 ",,"$135,386 ",,"$135,386 "
University of Rochester,All Track Combined,Rochester,NCAA Division III (with football),"2,958","2,953","5,911","Private nonprofit, 4-year or above",Women,,125,,,$473 ,"$59,096 ",,"$149,579 ",,"$149,579 "
SUNY College at Geneseo,All Track Combined,Geneseo,NCAA Division III (without football),"2,278","3,136","5,414","Public, 4-year or above",Women,,125,,,$636 ,"$79,494 ",,"$138,958 ",,"$139,062 "
New York University,All Track Combined,New York,NCAA Division III (without football),"10,184","13,266","23,450","Private nonprofit, 4-year or above",Women,,124,,,"$1,643 ","$203,706 ",,"$310,430 ",,"$310,079 "
Syracuse University,All Track Combined,Syracuse,NCAA Division I-A,"6,394","7,835","14,229","Private nonprofit, 4-year or above",Women,,120,,,"$2,911 ","$349,261 ",,"$1,393,549 ",,"$2,028,545 "
Columbia University - NYC,All Track Combined,New York,NCAA Division I-AA,"3,926","3,570","7,496","Private nonprofit, 4-year or above",Women,,118,,,"$1,382 ","$163,045 ",,"$446,599 ",,"$446,599 "
Fordham University,All Track Combined,Bronx,NCAA Division I-AA,"3,667","4,367","8,034","Private nonprofit, 4-year or above",Women,,116,,,$722 ,"$83,805 ",,"$773,275 ",,"$773,275 "
SUNY College at Brockport,All Track Combined,Brockport,NCAA Division III (with football),"2,904","3,400","6,304","Public, 4-year or above",Women,,116,,,$506 ,"$58,638 ",,"$127,692 ",,"$127,692 "
University at Buffalo,All Track Combined,Buffalo,NCAA Division I-A,"9,949","8,042","17,991","Public, 4-year or above",Women,,112,,,"$1,980 ","$221,813 ",,"$863,160 ",,"$863,160 "
Utica College,All Track Combined,Utica,NCAA Division III (with football),969,"1,227","2,196","Private nonprofit, 4-year or above",Women,,99,,,$494 ,"$48,894 ",,"$154,877 ",,"$154,002 "
Rensselaer Polytechnic Institute,All Track Combined,Troy,NCAA Division III (with football),"3,861","1,695","5,556","Private nonprofit, 4-year or above",Women,,98,,,$919 ,"$90,107 ",,"$197,136 ",,"$171,044 "
SUNY at Binghamton,All Track Combined,Vestal,NCAA Division I-AAA,"6,746","6,160","12,906","Public, 4-year or above",Women,,95,,,$672 ,"$63,867 ",,"$364,510 ",,"$356,700 "
SUNY Buffalo State,All Track Combined,Buffalo,NCAA Division III (with football),"3,485","4,793","8,278","Public, 4-year or above",Women,,93,,,$837 ,"$77,838 ",,"$237,138 ",,"$151,332 "
Le Moyne College,All Track Combined,Syracuse,NCAA Division II (without football),"1,104","1,385","2,489","Private nonprofit, 4-year or above",Women,,89,,,$310 ,"$27,566 ",,"$113,792 ",,"$116,043 "
St John's University-New York,All Track Combined,Queens,NCAA Division I-AAA,"4,884","5,671","10,555","Private nonprofit, 4-year or above",Women,,87,,,"$1,680 ","$146,197 ",,"$1,454,098 ",,"$1,454,098 "
SUNY at Fredonia,All Track Combined,Fredonia,NCAA Division III (without football),"2,174","2,621","4,795","Public, 4-year or above",Women,,82,,,$937 ,"$76,832 ",,"$128,083 ",,"$128,083 "
SUNY College at Oswego,All Track Combined,Oswego,NAIA Division III,"3,316","3,516","6,832","Public, 4-year or above",Women,,82,,,$413 ,"$33,892 ",,"$88,454 ",,"$82,068 "
Nazareth College,All Track Combined,Rochester,NCAA Division III (without football),535,"1,382","1,917","Private nonprofit, 4-year or above",Women,,81,,,$473 ,"$38,331 ",,"$86,467 ",,"$82,997 "
Stony Brook University,All Track Combined,Stony Brook,NCAA Division I-AA,"8,253","6,890","15,143","Public, 4-year or above",Women,,79,,,"$1,077 ","$85,088 ",,"$1,194,440 ",,"$440,946 "
Iona College,All Track Combined,New Rochelle,NCAA Division I-AA,"1,394","1,599","2,993","Private nonprofit, 4-year or above",Women,,75,,,$733 ,"$54,984 ",,"$526,573 ",,"$526,573 "
Union College,All Track Combined,Schenectady,NCAA Division III (with football),"1,193","1,009","2,202","Private nonprofit, 4-year or above",Women,,67,,,$327 ,"$21,907 ",,"$38,934 ",,"$51,697 "
Colgate University,All Track Combined,Hamilton,NCAA Division I-AA,"1,305","1,558","2,863","Private nonprofit, 4-year or above",Women,,66,,,$898 ,"$59,295 ",,"$173,941 ",,"$173,941 "
Houghton College,All Track Combined,Houghton,NCAA Division III (without football),352,641,993,"Private nonprofit, 4-year or above",Women,,65,,,$574 ,"$37,336 ",,"$75,169 ",,"$75,169 "
Daemen College,All Track Combined,Amherst,NCAA Division II (without football),497,"1,179","1,676","Private nonprofit, 4-year or above",Women,,63,,,$384 ,"$24,217 ",,"$137,064 ",,"$136,534 "
Manhattan College,All Track Combined,Riverdale,NCAA Division I-AAA,"1,811","1,465","3,276","Private nonprofit, 4-year or above",Women,,61,,,"$1,173 ","$71,548 ",,"$633,357 ",,"$633,357 "
Canisius College,All Track Combined,Buffalo,NCAA Division I-AAA,"1,251","1,449","2,700","Private nonprofit, 4-year or above",Women,,61,,,$626 ,"$38,177 ",,"$171,921 ",,"$171,921 "
Wagner College,All Track Combined,Staten Island,NCAA Division I-A,657,"1,105","1,762","Private nonprofit, 4-year or above",Women,,57,,,$656 ,"$37,380 ",,"$385,613 ",,"$373,293 "
CUNY Lehman College,All Track Combined,Bronx,NCAA Division III (without football),"1,961","3,903","5,864","Public, 4-year or above",Women,,48,,,$156 ,"$7,506 ",,"$34,879 ",,"$34,879 "
Mount Saint Mary College,All Track Combined,Newburgh,NCAA Division III (without football),522,"1,185","1,707","Private nonprofit, 4-year or above",Women,,44,,,$350 ,"$15,403 ",,"$37,069 ",,"$36,661 "
CUNY York College,All Track Combined,Jamaica,NCAA Division III (without football),"1,736","3,333","5,069","Public, 4-year or above",Women,,42,,,$510 ,"$21,420 ",,"$72,683 ",,"$32,189 "
St Francis College,All Track Combined,Brooklyn Heights,NCAA Division I-AAA,"1,059","1,354","2,413","Private nonprofit, 4-year or above",Women,,40,,,"$1,301 ","$52,050 ",,"$196,760 ",,"$196,760 "
Saint Joseph's College-New York,All Track Combined,Brooklyn,NCAA Division III (without football),"1,103","2,118","3,221","Private nonprofit, 4-year or above",Women,,40,,,$867 ,"$34,687 ",,"$52,007 ",,"$52,006 "
CUNY Hunter College,All Track Combined,New York,NCAA Division III (without football),"4,261","7,804","12,065","Public, 4-year or above",Women,,38,,,$162 ,"$6,162 ",,"$32,507 ",,"$32,507 "
CUNY Medgar Evers College,All Track Combined,Brooklyn,NCAA Division III (without football),"1,233","3,011","4,244","Public, 4-year or above",Women,,38,,,$356 ,"$13,534 ",,"$31,422 ",,"$31,422 "
SUNY College of Technology at Delhi,All Track Combined,Delhi,NJCAA Division III,"1,432","1,222","2,654","Public, 4-year or above",Women,,38,,,$428 ,"$16,270 ",,"$30,907 ",,"$30,907 "
LIU Post,All Track Combined,Brookville,NCAA Division II (with football),"1,317","2,038","3,355","Private nonprofit, 4-year or above",Women,,30,,,"$1,320 ","$39,613 ",,"$227,956 ",,"$227,956 "
Bryant & Stratton College-Syracuse,All Track Combined,Syracuse,Other,135,254,389,"Private for-profit, 2-year",Women,,5,,,"$3,914 ","$19,569 ",,"$62,832 ",,"$62,832 "
Columbia University - NYC,Archery,New York,NCAA Division I-AA,"3,926","3,570","7,496","Private nonprofit, 4-year or above",Women,,12,,,"$5,150 ","$61,801 ",,"$158,932 ",,"$158,932 "
St John's University-New York,Baseball,Queens,NCAA Division I-AAA,"4,884","5,671","10,555","Private nonprofit, 4-year or above",Men,35,,"$8,760 ","$306,603 ",,,"$1,601,106 ",,"$1,601,106 ",
Fordham University,Baseball,Bronx,NCAA Division I-AA,"3,667","4,367","8,034","Private nonprofit, 4-year or above",Men,35,,"$7,365 ","$257,776 ",,,"$1,204,056 ",,"$1,204,056 ",
Hofstra University,Baseball,Hempstead,NCAA Division I-AAA,"2,970","3,460","6,430","Private nonprofit, 4-year or above",Men,31,,"$8,315 ","$257,760 ",,,"$1,199,972 ",,"$1,199,972 ",
Stony Brook University,Baseball,Stony Brook,NCAA Division I-AA,"8,253","6,890","15,143","Public, 4-year or above",Men,30,,"$7,527 ","$225,813 ",,,"$1,049,296 ",,"$888,687 ",
Columbia University - NYC,Baseball,New York,NCAA Division I-AA,"3,926","3,570","7,496","Private nonprofit, 4-year or above",Men,33,,"$10,575 ","$348,981 ",,,"$791,507 ",,"$791,507 ",
LIU Brooklyn,Baseball,Brooklyn,NCAA Division I-AAA,"1,312","2,798","4,110","Private nonprofit, 4-year or above",Men,28,,"$5,604 ","$156,904 ",,,"$777,665 ",,"$777,665 ",
Appalachian State University,Baseball,Boone,NCAA Division I-A,"7,125","8,113","15,238","Public, 4-year or above",Men,35,,"$6,222 ","$217,784 ",,,"$758,624 ",,"$758,624 ",
Marist College,Baseball,Poughkeepsie,NCAA Division I-AA,"1,993","2,879","4,872","Private nonprofit, 4-year or above",Men,35,,"$4,314 ","$150,992 ",,,"$733,704 ",,"$733,704 ",
Manhattan College,Baseball,Riverdale,NCAA Division I-AAA,"1,811","1,465","3,276","Private nonprofit, 4-year or above",Men,32,,"$4,836 ","$154,738 ",,,"$713,302 ",,"$713,302 ",
Wagner College,Baseball,Staten Island,NCAA Division I-A,657,"1,105","1,762","Private nonprofit, 4-year or above",Men,34,,"$7,121 ","$242,130 ",,,"$734,670 ",,"$712,800 ",
Canisius College,Baseball,Buffalo,NCAA Division I-AAA,"1,251","1,449","2,700","Private nonprofit, 4-year or above",Men,38,,"$4,277 ","$162,528 ",,,"$710,265 ",,"$710,265 ",
Siena College,Baseball,Loudonville,NCAA Division I-AAA,"1,428","1,556","2,984","Private nonprofit, 4-year or above",Men,35,,"$5,769 ","$201,901 ",,,"$685,460 ",,"$685,460 ",
SUNY at Binghamton,Baseball,Vestal,NCAA Division I-AAA,"6,746","6,160","12,906","Public, 4-year or above",Men,33,,"$3,711 ","$122,464 ",,,"$670,704 ",,"$648,015 ",
University at Buffalo,Baseball,Buffalo,NCAA Division I-A,"9,949","8,042","17,991","Public, 4-year or above",Men,26,,"$8,272 ","$215,076 ",,,"$613,663 ",,"$613,663 ",
Pace University-New York,Baseball,New York,NCAA Division II (with football),"2,857","4,362","7,219","Private nonprofit, 4-year or above",Men,34,,"$3,088 ","$104,977 ",,,"$582,062 ",,"$587,506 ",
Cornell University,Baseball,Ithaca,NCAA Division I-AA,"6,976","7,206","14,182","Private nonprofit, 4-year or above",Men,35,,"$4,693 ","$164,238 ",,,"$582,148 ",,"$582,148 ",
LIU Post,Baseball,Brookville,NCAA Division II (with football),"1,317","2,038","3,355","Private nonprofit, 4-year or above",Men,35,,"$2,395 ","$83,823 ",,,"$575,536 ",,"$575,536 ",
Iona College,Baseball,New Rochelle,NCAA Division I-AA,"1,394","1,599","2,993","Private nonprofit, 4-year or above",Men,35,,"$3,151 ","$110,290 ",,,"$566,274 ",,"$566,274 ",
SUNY at Albany,Baseball,Albany,NCAA Division I-AA,"6,228","5,867","12,095","Public, 4-year or above",Men,35,,"$3,794 ","$132,795 ",,,"$582,444 ",,"$563,836 ",
Niagara University,Baseball,Niagara University,NCAA Division I-AAA,"1,149","1,669","2,818","Private nonprofit, 4-year or above",Men,35,,"$3,148 ","$110,188 ",,,"$543,692 ",,"$543,692 ",
The College of Saint Rose,Baseball,Albany,NCAA Division II (without football),852,"1,655","2,507","Private nonprofit, 4-year or above",Men,34,,"$2,701 ","$91,817 ",,,"$546,664 ",,"$536,371 ",
New York Institute of Technology,Baseball,Old Westbury,NCAA Division II (without football),"2,286","1,332","3,618","Private nonprofit, 4-year or above",Men,35,,"$1,039 ","$36,350 ",,,"$513,109 ",,"$513,109 ",
St Bonaventure University,Baseball,Saint Bonaventure,NCAA Division I-AAA,851,867,"1,718","Private nonprofit, 4-year or above",Men,34,,"$4,675 ","$158,964 ",,,"$502,638 ",,"$502,638 ",
Monroe College,Baseball,Bronx,Other,"1,858","2,910","4,768","Private for-profit, 4-year or above",Men,33,,"$5,158 ","$170,215 ",,,"$495,524 ",,"$495,524 ",
New York University,Baseball,New York,NCAA Division III (without football),"10,184","13,266","23,450","Private nonprofit, 4-year or above",Men,36,,"$9,465 ","$340,745 ",,,"$459,933 ",,"$459,933 ",
St. Thomas Aquinas College,Baseball,Sparkill,NCAA Division II (without football),506,580,"1,086","Private nonprofit, 4-year or above",Men,43,,"$1,414 ","$60,817 ",,,"$526,453 ",,"$449,592 ",
Adelphi University,Baseball,Garden City,NCAA Division II (without football),"1,403","3,173","4,576","Private nonprofit, 4-year or above",Men,34,,"$4,360 ","$148,245 ",,,"$433,287 ",,"$433,287 ",
Nyack College,Baseball,Nyack,NCAA Division II (without football),544,872,"1,416","Private nonprofit, 4-year or above",Men,29,,"$3,101 ","$89,927 ",,,"$399,658 ",,"$399,658 ",
Le Moyne College,Baseball,Syracuse,NCAA Division II (without football),"1,104","1,385","2,489","Private nonprofit, 4-year or above",Men,30,,"$2,899 ","$86,959 ",,,"$409,222 ",,"$398,351 ",
Concordia College-New York,Baseball,Bronxville,NCAA Division II (without football),276,555,831,"Private nonprofit, 4-year or above",Men,28,,$725 ,"$20,300 ",,,"$388,797 ",,"$388,797 ",
Molloy College,Baseball,Rockville Centre,NCAA Division II (without football),710,"1,964","2,674","Private nonprofit, 4-year or above",Men,28,,"$3,869 ","$108,343 ",,,"$394,300 ",,"$373,575 ",
Dowling College,Baseball,Oakdale,NCAA Division II (without football),562,518,"1,080","Private nonprofit, 4-year or above",Men,37,,"$1,603 ","$59,307 ",,,"$339,207 ",,"$339,207 ",
SUNY College at Cortland,Baseball,Cortland,NCAA Division III (with football),"2,631","3,572","6,203","Public, 4-year or above",Men,44,,"$4,030 ","$177,302 ",,,"$297,717 ",,"$297,717 ",
Dominican College of Blauvelt,Baseball,Orangeburg,NCAA Division II (without football),469,800,"1,269","Private nonprofit, 4-year or above",Men,33,,"$1,120 ","$36,974 ",,,"$292,297 ",,"$292,297 ",
Rensselaer Polytechnic Institute,Baseball,Troy,NCAA Division III (with football),"3,861","1,695","5,556","Private nonprofit, 4-year or above",Men,35,,"$3,229 ","$113,009 ",,,"$584,803 ",,"$245,072 ",
SUNY College at Plattsburgh,Baseball,Plattsburgh,NCAA Division III (without football),"2,265","2,813","5,078","Public, 4-year or above",Men,39,,"$2,707 ","$105,590 ",,,"$213,655 ",,"$210,496 ",
Mercy College,Baseball,Dobbs Ferry,NCAA Division II (without football),"1,636","3,474","5,110","Private nonprofit, 4-year or above",Men,28,,"$2,223 ","$62,253 ",,,"$240,837 ",,"$209,397 ",
Saint John Fisher College,Baseball,Rochester,NCAA Division III (with football),"1,078","1,581","2,659","Private nonprofit, 4-year or above",Men,37,,"$2,751 ","$101,776 ",,,"$207,887 ",,"$207,887 ",
Ithaca College,Baseball,Ithaca,NCAA Division III (with football),"2,551","3,452","6,003","Private nonprofit, 4-year or above",Men,57,,"$1,441 ","$82,132 ",,,"$204,990 ",,"$204,990 ",
University of Rochester,Baseball,Rochester,NCAA Division III (with football),"2,958","2,953","5,911","Private nonprofit, 4-year or above",Men,26,,"$4,018 ","$104,457 ",,,"$198,182 ",,"$198,182 ",
Rochester Institute of Technology,Baseball,Rochester,Other,"8,188","4,003","12,191","Private nonprofit, 4-year or above",Men,36,,"$2,097 ","$75,490 ",,,"$185,813 ",,"$185,813 ",
Hamilton College,Baseball,Clinton,NCAA Division III (with football),918,972,"1,890","Private nonprofit, 4-year or above",Men,28,,"$3,006 ","$84,155 ",,,"$166,932 ",,"$166,932 ",
United States Merchant Marine Academy,Baseball,Kings Point,NCAA Division III (with football),793,146,939,"Public, 4-year or above",Men,26,,"$1,911 ","$49,681 ",,,"$160,849 ",,"$159,594 ",
SUNY College at Oswego,Baseball,Oswego,NAIA Division III,"3,316","3,516","6,832","Public, 4-year or above",Men,33,,"$2,632 ","$86,842 ",,,"$150,354 ",,"$155,531 ",
Vassar College,Baseball,Poughkeepsie,NCAA Division III (without football),"1,049","1,331","2,380","Private nonprofit, 4-year or above",Men,21,,"$1,786 ","$37,498 ",,,"$152,210 ",,"$152,210 ",
Monroe Community College,Baseball,Rochester,NJCAA Division I,"4,504","4,859","9,363","Public, 2-year",Men,24,,"$1,449 ","$34,767 ",,,"$184,689 ",,"$146,056 ",
Utica College,Baseball,Utica,NCAA Division III (with football),969,"1,227","2,196","Private nonprofit, 4-year or above",Men,47,,"$1,191 ","$55,973 ",,,"$147,853 ",,"$145,398 ",
St Lawrence University,Baseball,Canton,NCAA Division III (with football),"1,065","1,215","2,280","Private nonprofit, 4-year or above",Men,26,,"$1,625 ","$42,243 ",,,"$141,105 ",,"$141,105 ",
Clarkson University,Baseball,Potsdam,NCAA Division III (without football),"2,201",920,"3,121","Private nonprofit, 4-year or above",Men,23,,$927 ,"$21,332 ",,,"$140,359 ",,"$138,990 ",
SUNY at Fredonia,Baseball,Fredonia,NCAA Division III (without football),"2,174","2,621","4,795","Public, 4-year or above",Men,35,,"$3,042 ","$106,472 ",,,"$135,928 ",,"$135,928 ",
State University of New York at New Paltz,Baseball,New Paltz,NCAA Division III (without football),"2,299","3,751","6,050","Public, 4-year or above",Men,35,,$626 ,"$21,916 ",,,"$133,743 ",,"$133,743 ",
Union College,Baseball,Schenectady,NCAA Division III (with football),"1,193","1,009","2,202","Private nonprofit, 4-year or above",Men,33,,"$2,607 ","$86,015 ",,,"$100,997 ",,"$133,642 ",
Elmira College,Baseball,Elmira,NCAA Division III (without football),358,819,"1,177","Private nonprofit, 4-year or above",Men,24,,"$2,037 ","$48,892 ",,,"$126,493 ",,"$126,493 ",
SUNY Institute of Technology at Utica-Rome,Baseball,Utica,NCAA Division III (without football),"1,090",523,"1,613","Public, 4-year or above",Men,33,,"$2,487 ","$82,059 ",,,"$128,446 ",,"$126,068 ",
CUNY Queens College,Baseball,Queens,NCAA Division II (without football),"4,942","6,119","11,061","Public, 4-year or above",Men,34,,$580 ,"$19,735 ",,,"$134,690 ",,"$125,640 ",
Globe Institute of Technology,Baseball,New York,NJCAA Division I,334,135,469,"Private for-profit, 4-year or above",Men,28,,"$1,316 ","$36,834 ",,,"$125,169 ",,"$125,169 ",
Bard College,Baseball,Annandale-On-Hudson,NCAA Division III (without football),888,"1,094","1,982","Private nonprofit, 4-year or above",Men,21,,"$2,250 ","$47,259 ",,,"$135,191 ",,"$119,472 ",
Erie Community College,Baseball,Buffalo,NJCAA Division III,"4,307","4,006","8,313","Public, 2-year",Men,31,,"$1,819 ","$56,390 ",,,"$115,724 ",,"$118,122 ",
Skidmore College,Baseball,Saratoga Springs,NCAA Division III (without football),"1,051","1,546","2,597","Private nonprofit, 4-year or above",Men,30,,"$1,601 ","$48,043 ",,,"$118,031 ",,"$118,031 ",
SUNY College at Brockport,Baseball,Brockport,NCAA Division III (with football),"2,904","3,400","6,304","Public, 4-year or above",Men,36,,"$1,458 ","$52,478 ",,,"$116,672 ",,"$116,672 ",
Saint Joseph's College-New York,Baseball,Brooklyn,NCAA Division III (without football),"1,103","2,118","3,221","Private nonprofit, 4-year or above",Men,61,,"$1,462 ","$89,212 ",,,"$113,353 ",,"$113,353 ",
SUNY Oneonta,Baseball,Oneonta,NCAA Division III (without football),"2,237","3,474","5,711","Public, 4-year or above",Men,31,,"$1,285 ","$39,843 ",,,"$112,762 ",,"$112,762 ",
