college,sport,city,division,enrollment_male,enrollment_female,enrollment_total,college_type,gender,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team, revenue_male,revenue_female,expense_male,expense_female
Colgate University,All Track Combined,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Men,81,,691,56004,,,178297,,178297,
Rensselaer Polytechnic Institute,All Track Combined,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Men,168,,548,91981,,,197136,,172919,
University of Rochester,All Track Combined,Rochester,NCAA Division III (with football),2958,2953,5911,"Private nonprofit, 4-year or above",Men,128,,518,66319,,,156791,,156791,
Utica College,All Track Combined,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Men,98,,503,49245,,,154636,,153761,
Canisius College,All Track Combined,Buffalo,NCAA Division I-AAA,1251,1449,2700,"Private nonprofit, 4-year or above",Men,58,,626,36300,,,148951,,148951,
SUNY at Fredonia,All Track Combined,Fredonia,NCAA Division III (without football),2174,2621,4795,"Public, 4-year or above",Men,100,,918,91845,,,144099,,144099,
SUNY College at Geneseo,All Track Combined,Geneseo,NCAA Division III (without football),2278,3136,5414,"Public, 4-year or above",Men,128,,621,79494,,,138958,,139062,
Bryant & Stratton College-Syracuse,All Track Combined,Syracuse,Other,135,254,389,"Private for-profit, 2-year",Men,22,,1288,28325,,,135770,,135770,
SUNY Oneonta,All Track Combined,Oneonta,NCAA Division III (without football),2237,3474,5711,"Public, 4-year or above",Men,102,,594,60553,,,135386,,135386,
Daemen College,All Track Combined,Amherst,NCAA Division II (without football),497,1179,1676,"Private nonprofit, 4-year or above",Men,66,,384,25369,,,131848,,131293,
SUNY College at Brockport,All Track Combined,Brockport,NCAA Division III (with football),2904,3400,6304,"Public, 4-year or above",Men,114,,506,57627,,,125497,,125497,
SUNY Buffalo State,All Track Combined,Buffalo,NCAA Division III (with football),3485,4793,8278,"Public, 4-year or above",Men,64,,837,53566,,,163192,,104143,
SUNY College at Oswego,All Track Combined,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Men,92,,400,36829,,,95825,,89021,
Le Moyne College,All Track Combined,Syracuse,NCAA Division II (without football),1104,1385,2489,"Private nonprofit, 4-year or above",Men,54,,483,26092,,,68375,,71111,
Houghton College,All Track Combined,Houghton,NCAA Division III (without football),352,641,993,"Private nonprofit, 4-year or above",Men,42,,577,24232,,,61890,,61890,
Union College,All Track Combined,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Men,93,,236,21907,,,38933,,51696,
Nazareth College,All Track Combined,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Men,57,,448,25554,,,53832,,50362,
SUNY College of Technology at Delhi,All Track Combined,Delhi,NJCAA Division III,1432,1222,2654,"Public, 4-year or above",Men,83,,428,35536,,,48303,,48303,
Saint Joseph's College-New York,All Track Combined,Brooklyn,NCAA Division III (without football),1103,2118,3221,"Private nonprofit, 4-year or above",Men,56,,677,37906,,,48251,,48251,
CUNY York College,All Track Combined,Jamaica,NCAA Division III (without football),1736,3333,5069,"Public, 4-year or above",Men,41,,510,20912,,,70963,,37793,
Mount Saint Mary College,All Track Combined,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Men,38,,361,13721,,,35387,,34979,
CUNY Lehman College,All Track Combined,Bronx,NCAA Division III (without football),1961,3903,5864,"Public, 4-year or above",Men,41,,104,4274,,,31356,,31356,
CUNY Medgar Evers College,All Track Combined,Brooklyn,NCAA Division III (without football),1233,3011,4244,"Public, 4-year or above",Men,35,,356,12466,,,30354,,30354,
CUNY Hunter College,All Track Combined,New York,NCAA Division III (without football),4261,7804,12065,"Public, 4-year or above",Men,44,,142,6257,,,24680,,24680,
Cornell University,All Track Combined,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Women,,195,,,1175,229138,,725223,,725223
Ithaca College,All Track Combined,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Women,,148,,,1058,156553,,293786,,293786
Marist College,All Track Combined,Poughkeepsie,NCAA Division I-AA,1993,2879,4872,"Private nonprofit, 4-year or above",Women,,130,,,888,115490,,400503,,400503
SUNY Oneonta,All Track Combined,Oneonta,NCAA Division III (without football),2237,3474,5711,"Public, 4-year or above",Women,,128,,,473,60553,,135386,,135386
University of Rochester,All Track Combined,Rochester,NCAA Division III (with football),2958,2953,5911,"Private nonprofit, 4-year or above",Women,,125,,,473,59096,,149579,,149579
SUNY College at Geneseo,All Track Combined,Geneseo,NCAA Division III (without football),2278,3136,5414,"Public, 4-year or above",Women,,125,,,636,79494,,138958,,139062
New York University,All Track Combined,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Women,,124,,,1643,203706,,310430,,310079
Syracuse University,All Track Combined,Syracuse,NCAA Division I-A,6394,7835,14229,"Private nonprofit, 4-year or above",Women,,120,,,2911,349261,,1393549,,2028545
Columbia University - NYC,All Track Combined,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Women,,118,,,1382,163045,,446599,,446599
Fordham University,All Track Combined,Bronx,NCAA Division I-AA,3667,4367,8034,"Private nonprofit, 4-year or above",Women,,116,,,722,83805,,773275,,773275
SUNY College at Brockport,All Track Combined,Brockport,NCAA Division III (with football),2904,3400,6304,"Public, 4-year or above",Women,,116,,,506,58638,,127692,,127692
University at Buffalo,All Track Combined,Buffalo,NCAA Division I-A,9949,8042,17991,"Public, 4-year or above",Women,,112,,,1980,221813,,863160,,863160
Utica College,All Track Combined,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Women,,99,,,494,48894,,154877,,154002
Rensselaer Polytechnic Institute,All Track Combined,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Women,,98,,,919,90107,,197136,,171044
SUNY at Binghamton,All Track Combined,Vestal,NCAA Division I-AAA,6746,6160,12906,"Public, 4-year or above",Women,,95,,,672,63867,,364510,,356700
SUNY Buffalo State,All Track Combined,Buffalo,NCAA Division III (with football),3485,4793,8278,"Public, 4-year or above",Women,,93,,,837,77838,,237138,,151332
Le Moyne College,All Track Combined,Syracuse,NCAA Division II (without football),1104,1385,2489,"Private nonprofit, 4-year or above",Women,,89,,,310,27566,,113792,,116043
St John's University-New York,All Track Combined,Queens,NCAA Division I-AAA,4884,5671,10555,"Private nonprofit, 4-year or above",Women,,87,,,1680,146197,,1454098,,1454098
SUNY at Fredonia,All Track Combined,Fredonia,NCAA Division III (without football),2174,2621,4795,"Public, 4-year or above",Women,,82,,,937,76832,,128083,,128083
SUNY College at Oswego,All Track Combined,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Women,,82,,,413,33892,,88454,,82068
Nazareth College,All Track Combined,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Women,,81,,,473,38331,,86467,,82997
Stony Brook University,All Track Combined,Stony Brook,NCAA Division I-AA,8253,6890,15143,"Public, 4-year or above",Women,,79,,,1077,85088,,1194440,,440946
Iona College,All Track Combined,New Rochelle,NCAA Division I-AA,1394,1599,2993,"Private nonprofit, 4-year or above",Women,,75,,,733,54984,,526573,,526573
Union College,All Track Combined,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Women,,67,,,327,21907,,38934,,51697
Colgate University,All Track Combined,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Women,,66,,,898,59295,,173941,,173941
Houghton College,All Track Combined,Houghton,NCAA Division III (without football),352,641,993,"Private nonprofit, 4-year or above",Women,,65,,,574,37336,,75169,,75169
Daemen College,All Track Combined,Amherst,NCAA Division II (without football),497,1179,1676,"Private nonprofit, 4-year or above",Women,,63,,,384,24217,,137064,,136534
Manhattan College,All Track Combined,Riverdale,NCAA Division I-AAA,1811,1465,3276,"Private nonprofit, 4-year or above",Women,,61,,,1173,71548,,633357,,633357
Canisius College,All Track Combined,Buffalo,NCAA Division I-AAA,1251,1449,2700,"Private nonprofit, 4-year or above",Women,,61,,,626,38177,,171921,,171921
Wagner College,All Track Combined,Staten Island,NCAA Division I-A,657,1105,1762,"Private nonprofit, 4-year or above",Women,,57,,,656,37380,,385613,,373293
CUNY Lehman College,All Track Combined,Bronx,NCAA Division III (without football),1961,3903,5864,"Public, 4-year or above",Women,,48,,,156,7506,,34879,,34879
Mount Saint Mary College,All Track Combined,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Women,,44,,,350,15403,,37069,,36661
CUNY York College,All Track Combined,Jamaica,NCAA Division III (without football),1736,3333,5069,"Public, 4-year or above",Women,,42,,,510,21420,,72683,,32189
St Francis College,All Track Combined,Brooklyn Heights,NCAA Division I-AAA,1059,1354,2413,"Private nonprofit, 4-year or above",Women,,40,,,1301,52050,,196760,,196760
Saint Joseph's College-New York,All Track Combined,Brooklyn,NCAA Division III (without football),1103,2118,3221,"Private nonprofit, 4-year or above",Women,,40,,,867,34687,,52007,,52006
CUNY Hunter College,All Track Combined,New York,NCAA Division III (without football),4261,7804,12065,"Public, 4-year or above",Women,,38,,,162,6162,,32507,,32507
CUNY Medgar Evers College,All Track Combined,Brooklyn,NCAA Division III (without football),1233,3011,4244,"Public, 4-year or above",Women,,38,,,356,13534,,31422,,31422
SUNY College of Technology at Delhi,All Track Combined,Delhi,NJCAA Division III,1432,1222,2654,"Public, 4-year or above",Women,,38,,,428,16270,,30907,,30907
LIU Post,All Track Combined,Brookville,NCAA Division II (with football),1317,2038,3355,"Private nonprofit, 4-year or above",Women,,30,,,1320,39613,,227956,,227956
Bryant & Stratton College-Syracuse,All Track Combined,Syracuse,Other,135,254,389,"Private for-profit, 2-year",Women,,5,,,3914,19569,,62832,,62832
Columbia University - NYC,Archery,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Women,,12,,,5150,61801,,158932,,158932
St John's University-New York,Baseball,Queens,NCAA Division I-AAA,4884,5671,10555,"Private nonprofit, 4-year or above",Men,35,,8760,306603,,,1601106,,1601106,
Fordham University,Baseball,Bronx,NCAA Division I-AA,3667,4367,8034,"Private nonprofit, 4-year or above",Men,35,,7365,257776,,,1204056,,1204056,
Hofstra University,Baseball,Hempstead,NCAA Division I-AAA,2970,3460,6430,"Private nonprofit, 4-year or above",Men,31,,8315,257760,,,1199972,,1199972,
Stony Brook University,Baseball,Stony Brook,NCAA Division I-AA,8253,6890,15143,"Public, 4-year or above",Men,30,,7527,225813,,,1049296,,888687,
Columbia University - NYC,Baseball,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Men,33,,10575,348981,,,791507,,791507,
LIU Brooklyn,Baseball,Brooklyn,NCAA Division I-AAA,1312,2798,4110,"Private nonprofit, 4-year or above",Men,28,,5604,156904,,,777665,,777665,
Appalachian State University,Baseball,Boone,NCAA Division I-A,7125,8113,15238,"Public, 4-year or above",Men,35,,6222,217784,,,758624,,758624,
Marist College,Baseball,Poughkeepsie,NCAA Division I-AA,1993,2879,4872,"Private nonprofit, 4-year or above",Men,35,,4314,150992,,,733704,,733704,
Manhattan College,Baseball,Riverdale,NCAA Division I-AAA,1811,1465,3276,"Private nonprofit, 4-year or above",Men,32,,4836,154738,,,713302,,713302,
Wagner College,Baseball,Staten Island,NCAA Division I-A,657,1105,1762,"Private nonprofit, 4-year or above",Men,34,,7121,242130,,,734670,,712800,
Canisius College,Baseball,Buffalo,NCAA Division I-AAA,1251,1449,2700,"Private nonprofit, 4-year or above",Men,38,,4277,162528,,,710265,,710265,
Siena College,Baseball,Loudonville,NCAA Division I-AAA,1428,1556,2984,"Private nonprofit, 4-year or above",Men,35,,5769,201901,,,685460,,685460,
SUNY at Binghamton,Baseball,Vestal,NCAA Division I-AAA,6746,6160,12906,"Public, 4-year or above",Men,33,,3711,122464,,,670704,,648015,
University at Buffalo,Baseball,Buffalo,NCAA Division I-A,9949,8042,17991,"Public, 4-year or above",Men,26,,8272,215076,,,613663,,613663,
Pace University-New York,Baseball,New York,NCAA Division II (with football),2857,4362,7219,"Private nonprofit, 4-year or above",Men,34,,3088,104977,,,582062,,587506,
Cornell University,Baseball,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Men,35,,4693,164238,,,582148,,582148,
LIU Post,Baseball,Brookville,NCAA Division II (with football),1317,2038,3355,"Private nonprofit, 4-year or above",Men,35,,2395,83823,,,575536,,575536,
Iona College,Baseball,New Rochelle,NCAA Division I-AA,1394,1599,2993,"Private nonprofit, 4-year or above",Men,35,,3151,110290,,,566274,,566274,
SUNY at Albany,Baseball,Albany,NCAA Division I-AA,6228,5867,12095,"Public, 4-year or above",Men,35,,3794,132795,,,582444,,563836,
Niagara University,Baseball,Niagara University,NCAA Division I-AAA,1149,1669,2818,"Private nonprofit, 4-year or above",Men,35,,3148,110188,,,543692,,543692,
The College of Saint Rose,Baseball,Albany,NCAA Division II (without football),852,1655,2507,"Private nonprofit, 4-year or above",Men,34,,2701,91817,,,546664,,536371,
New York Institute of Technology,Baseball,Old Westbury,NCAA Division II (without football),2286,1332,3618,"Private nonprofit, 4-year or above",Men,35,,1039,36350,,,513109,,513109,
St Bonaventure University,Baseball,Saint Bonaventure,NCAA Division I-AAA,851,867,1718,"Private nonprofit, 4-year or above",Men,34,,4675,158964,,,502638,,502638,
Monroe College,Baseball,Bronx,Other,1858,2910,4768,"Private for-profit, 4-year or above",Men,33,,5158,170215,,,495524,,495524,
New York University,Baseball,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Men,36,,9465,340745,,,459933,,459933,
St. Thomas Aquinas College,Baseball,Sparkill,NCAA Division II (without football),506,580,1086,"Private nonprofit, 4-year or above",Men,43,,1414,60817,,,526453,,449592,
Adelphi University,Baseball,Garden City,NCAA Division II (without football),1403,3173,4576,"Private nonprofit, 4-year or above",Men,34,,4360,148245,,,433287,,433287,
Nyack College,Baseball,Nyack,NCAA Division II (without football),544,872,1416,"Private nonprofit, 4-year or above",Men,29,,3101,89927,,,399658,,399658,
Le Moyne College,Baseball,Syracuse,NCAA Division II (without football),1104,1385,2489,"Private nonprofit, 4-year or above",Men,30,,2899,86959,,,409222,,398351,
Concordia College-New York,Baseball,Bronxville,NCAA Division II (without football),276,555,831,"Private nonprofit, 4-year or above",Men,28,,725,20300,,,388797,,388797,
Molloy College,Baseball,Rockville Centre,NCAA Division II (without football),710,1964,2674,"Private nonprofit, 4-year or above",Men,28,,3869,108343,,,394300,,373575,
Dowling College,Baseball,Oakdale,NCAA Division II (without football),562,518,1080,"Private nonprofit, 4-year or above",Men,37,,1603,59307,,,339207,,339207,
SUNY College at Cortland,Baseball,Cortland,NCAA Division III (with football),2631,3572,6203,"Public, 4-year or above",Men,44,,4030,177302,,,297717,,297717,
Dominican College of Blauvelt,Baseball,Orangeburg,NCAA Division II (without football),469,800,1269,"Private nonprofit, 4-year or above",Men,33,,1120,36974,,,292297,,292297,
Rensselaer Polytechnic Institute,Baseball,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Men,35,,3229,113009,,,584803,,245072,
SUNY College at Plattsburgh,Baseball,Plattsburgh,NCAA Division III (without football),2265,2813,5078,"Public, 4-year or above",Men,39,,2707,105590,,,213655,,210496,
Mercy College,Baseball,Dobbs Ferry,NCAA Division II (without football),1636,3474,5110,"Private nonprofit, 4-year or above",Men,28,,2223,62253,,,240837,,209397,
Saint John Fisher College,Baseball,Rochester,NCAA Division III (with football),1078,1581,2659,"Private nonprofit, 4-year or above",Men,37,,2751,101776,,,207887,,207887,
Ithaca College,Baseball,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Men,57,,1441,82132,,,204990,,204990,
University of Rochester,Baseball,Rochester,NCAA Division III (with football),2958,2953,5911,"Private nonprofit, 4-year or above",Men,26,,4018,104457,,,198182,,198182,
Rochester Institute of Technology,Baseball,Rochester,Other,8188,4003,12191,"Private nonprofit, 4-year or above",Men,36,,2097,75490,,,185813,,185813,
Hamilton College,Baseball,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Men,28,,3006,84155,,,166932,,166932,
United States Merchant Marine Academy,Baseball,Kings Point,NCAA Division III (with football),793,146,939,"Public, 4-year or above",Men,26,,1911,49681,,,160849,,159594,
SUNY College at Oswego,Baseball,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Men,33,,2632,86842,,,150354,,155531,
Vassar College,Baseball,Poughkeepsie,NCAA Division III (without football),1049,1331,2380,"Private nonprofit, 4-year or above",Men,21,,1786,37498,,,152210,,152210,
Monroe Community College,Baseball,Rochester,NJCAA Division I,4504,4859,9363,"Public, 2-year",Men,24,,1449,34767,,,184689,,146056,
Utica College,Baseball,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Men,47,,1191,55973,,,147853,,145398,
St Lawrence University,Baseball,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Men,26,,1625,42243,,,141105,,141105,
Clarkson University,Baseball,Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Men,23,,927,21332,,,140359,,138990,
SUNY at Fredonia,Baseball,Fredonia,NCAA Division III (without football),2174,2621,4795,"Public, 4-year or above",Men,35,,3042,106472,,,135928,,135928,
State University of New York at New Paltz,Baseball,New Paltz,NCAA Division III (without football),2299,3751,6050,"Public, 4-year or above",Men,35,,626,21916,,,133743,,133743,
Union College,Baseball,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Men,33,,2607,86015,,,100997,,133642,
Elmira College,Baseball,Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Men,24,,2037,48892,,,126493,,126493,
SUNY Institute of Technology at Utica-Rome,Baseball,Utica,NCAA Division III (without football),1090,523,1613,"Public, 4-year or above",Men,33,,2487,82059,,,128446,,126068,
CUNY Queens College,Baseball,Queens,NCAA Division II (without football),4942,6119,11061,"Public, 4-year or above",Men,34,,580,19735,,,134690,,125640,
Globe Institute of Technology,Baseball,New York,NJCAA Division I,334,135,469,"Private for-profit, 4-year or above",Men,28,,1316,36834,,,125169,,125169,
Bard College,Baseball,Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Men,21,,2250,47259,,,135191,,119472,
Erie Community College,Baseball,Buffalo,NJCAA Division III,4307,4006,8313,"Public, 2-year",Men,31,,1819,56390,,,115724,,118122,
Skidmore College,Baseball,Saratoga Springs,NCAA Division III (without football),1051,1546,2597,"Private nonprofit, 4-year or above",Men,30,,1601,48043,,,118031,,118031,
SUNY College at Brockport,Baseball,Brockport,NCAA Division III (with football),2904,3400,6304,"Public, 4-year or above",Men,36,,1458,52478,,,116672,,116672,
Saint Joseph's College-New York,Baseball,Brooklyn,NCAA Division III (without football),1103,2118,3221,"Private nonprofit, 4-year or above",Men,61,,1462,89212,,,113353,,113353,
SUNY Oneonta,Baseball,Oneonta,NCAA Division III (without football),2237,3474,5711,"Public, 4-year or above",Men,31,,1285,39843,,,112762,,112762,
Yeshiva University,Baseball,New York,NCAA Division III (without football),1433,1291,2724,"Private nonprofit, 4-year or above",Men,26,,2761,71790,,,98690,,98690,
SUNY College of Technology at Canton,Baseball,Canton,Other,1288,1505,2793,"Public, 4-year or above",Men,37,,1235,45680,,,97090,,95376,
SUNY College of Technology at Alfred,Baseball,Alfred,NCAA Division III (with football),2139,1187,3326,"Public, 4-year or above",Men,28,,1732,48497,,,129705,,93554,
Genesee Community College,Baseball,Batavia,NJCAA Division II,1060,1886,2946,"Public, 2-year",Men,20,,1473,29461,,,89145,,89145,
Niagara County Community College,Baseball,Sanborn,NJCAA Division III,1739,2210,3949,"Public, 2-year",Men,32,,717,22950,,,118950,,88950,
Medaille College,Baseball,Buffalo,NCAA Division III (without football),561,1188,1749,"Private nonprofit, 4-year or above",Men,22,,2780,61167,,,124280,,85867,
Onondaga Community College,Baseball,Syracuse,NJCAA Division III,3184,3062,6246,"Public, 2-year",Men,22,,2511,55248,,,80741,,82770,
Mount Saint Mary College,Baseball,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Men,34,,1047,35581,,,82319,,82068,
Hilbert College,Baseball,Hamburg,NCAA Division III (without football),370,472,842,"Private nonprofit, 4-year or above",Men,33,,1908,62960,,,78634,,78634,
Farmingdale State College,Baseball,Farmingdale,NCAA Division III (without football),3701,2451,6152,"Public, 4-year or above",Men,35,,927,32439,,,70439,,70439,
SUNY College at Old Westbury,Baseball,Old Westbury,NCAA Division III (without football),1494,2142,3636,"Public, 4-year or above",Men,31,,1519,47083,,,82294,,69369,
Houghton College,Baseball,Houghton,NCAA Division III (without football),352,641,993,"Private nonprofit, 4-year or above",Men,30,,1262,37861,,,69146,,69146,
College of Mount Saint Vincent,Baseball,Bronx,NCAA Division III (without football),490,1087,1577,"Private nonprofit, 4-year or above",Men,22,,1467,32283,,,72831,,68571,
Manhattanville College,Baseball,Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Men,39,,396,15445,,,69455,,67580,
College of Staten Island CUNY,Baseball,Staten Island,NCAA Division III (without football),4528,5493,10021,"Public, 4-year or above",Men,30,,1501,45025,,,66089,,66089,
Schenectady County Community College,Baseball,Schenectady,NJCAA Division III,1216,1286,2502,"Public, 2-year",Men,25,,1901,47519,,,51571,,65519,
Keuka College,Baseball,Keuka Park,NCAA Division III (without football),383,964,1347,"Private nonprofit, 4-year or above",Men,33,,1041,34358,,,64932,,64932,
CUNY City College,Baseball,New York,NCAA Division III (without football),4509,4790,9299,"Public, 4-year or above",Men,25,,391,9775,,,73036,,63377,
Cazenovia College,Baseball,Cazenovia,NCAA Division III (without football),271,692,963,"Private nonprofit, 4-year or above",Men,32,,1458,46655,,,61090,,61090,
D'Youville College,Baseball,Buffalo,NCAA Division III (without football),416,1087,1503,"Private nonprofit, 4-year or above",Men,24,,1836,44068,,,60693,,60693,
Mohawk Valley Community College,Baseball,Utica,NJCAA Division III,1985,2002,3987,"Public, 2-year",Men,32,,854,27328,,,56999,,56999,
College of the Albemarle,Baseball,Elizabeth City,NJCAA Division III,373,578,951,"Public, 2-year",Men,28,,1210,33872,,,53584,,53584,
Jefferson Community College,Baseball,Watertown,NJCAA Division III,898,1234,2132,"Public, 2-year",Men,30,,1298,38928,,,51740,,51740,
Rockland Community College,Baseball,Suffern,NJCAA Division III,2205,1954,4159,"Public, 2-year",Men,21,,1151,24171,,,50485,,50485,
Herkimer County Community College,Baseball,Herkimer,NJCAA Division III,810,1023,1833,"Public, 2-year",Men,30,,1038,31140,,,50218,,50218,
Orange County Community College,Baseball,Middletown,Other,1502,1793,3295,"Public, 2-year",Men,22,,1276,28072,,,48110,,48308,
CUNY Borough of Manhattan Community College,Baseball,New York,NJCAA Division III,7501,9601,17102,"Public, 2-year",Men,24,,1452,34839,,,48129,,48129,
CUNY John Jay College of Criminal Justice,Baseball,New York,NCAA Division III (without football),4393,5826,10219,"Public, 4-year or above",Men,26,,697,18115,,,47347,,47347,
Finger Lakes Community College,Baseball,Canandaigua,NJCAA Division III,1506,1750,3256,"Public, 2-year",Men,33,,1041,34340,,,46794,,46794,
SUNY Westchester Community College,Baseball,Valhalla,NJCAA Division III,3645,3714,7359,"Public, 2-year",Men,26,,859,22325,,,46325,,46325,
Sullivan County Community College,Baseball,Loch Sheldrake,NJCAA Division III,432,475,907,"Public, 2-year",Men,28,,818,22896,,,44008,,44008,
Dutchess Community College,Baseball,Poughkeepsie,NJCAA Division III,2316,2289,4605,"Public, 2-year",Men,20,,1379,27585,,,42295,,42165,
CUNY Bronx Community College,Baseball,Bronx,NJCAA Division III,3061,3769,6830,"Public, 2-year",Men,24,,1026,24613,,,41613,,41613,
SUNY Maritime College,Baseball,Throggs Neck,NCAA Division III (with football),1419,160,1579,"Public, 4-year or above",Men,29,,1199,34775,,,41235,,38932,
Nassau Community College,Baseball,Garden City,NJCAA Division III,6765,6210,12975,"Public, 2-year",Men,35,,476,16660,,,36907,,36907,
Hudson Valley Community College,Baseball,Troy,NJCAA Division III,3578,2594,6172,"Public, 2-year",Men,31,,759,23523,,,34942,,34942,
SUNY Broome Community College,Baseball,Binghamton,NJCAA Division III,1973,2318,4291,"Public, 2-year",Men,24,,933,22403,,,34173,,34173,
CUNY Bernard M Baruch College,Baseball,New York,NCAA Division III (without football),5673,5123,10796,"Public, 4-year or above",Men,25,,677,16913,,,35833,,33356,
SUNY at Purchase College,Baseball,Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Men,25,,752,18807,,,35000,,33189,
Jamestown Community College,Baseball,Jamestown,NJCAA Division III,1095,1377,2472,"Public, 2-year",Men,18,,1133,20397,,,30847,,30847,
CUNY Lehman College,Baseball,Bronx,NCAA Division III (without football),1961,3903,5864,"Public, 4-year or above",Men,22,,634,13957,,,29182,,29182,
Corning Community College,Baseball,Corning,NJCAA Division III,863,1080,1943,"Public, 2-year",Men,26,,765,19899,,,29979,,28822,
