GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
1400000US36029002400,36029002400,"Census Tract 24, Erie County, New York",4350,649,3289,601,488,233,48,54,0,89,0,89,130,213,395,304,24,27,371,309
1400000US36029002502,36029002502,"Census Tract 25.02, Erie County, New York",1926,263,69,62,1726,266,7,11,13,21,0,89,52,42,59,40,0,89,59,40
1400000US36029002702,36029002702,"Census Tract 27.02, Erie County, New York",3123,597,521,247,1758,478,31,49,551,351,0,89,22,33,240,195,60,97,180,196
1400000US36029002800,36029002800,"Census Tract 28, Erie County, New York",2296,456,578,196,1612,435,0,89,58,93,0,89,25,57,23,38,0,89,23,38
1400000US36029002900,36029002900,"Census Tract 29, Erie County, New York",2666,542,560,276,1939,556,0,89,33,50,0,89,0,89,134,128,0,89,134,128
1400000US36029003000,36029003000,"Census Tract 30, Erie County, New York",2686,399,500,122,2061,325,0,89,0,89,0,89,0,89,125,156,0,89,125,156
1400000US36029003100,36029003100,"Census Tract 31, Erie County, New York",2265,328,262,170,1965,334,17,23,0,89,0,89,1,5,20,22,10,16,10,15
1400000US36029003301,36029003301,"Census Tract 33.01, Erie County, New York",3548,427,177,123,3141,416,9,15,0,89,0,89,193,216,28,31,0,89,28,31
1400000US36029003302,36029003302,"Census Tract 33.02, Erie County, New York",3193,625,219,201,2844,572,5,10,104,139,0,89,0,89,21,23,13,20,8,11
1400000US36029003400,36029003400,"Census Tract 34, Erie County, New York",2784,430,60,56,2697,429,0,89,0,89,0,89,23,36,4,7,1,4,3,6
1400000US36029003500,36029003500,"Census Tract 35, Erie County, New York",2939,432,89,56,2627,337,0,89,15,23,0,89,87,127,121,101,0,89,121,101
1400000US36029003600,36029003600,"Census Tract 36, Erie County, New York",2351,358,265,155,1831,344,167,186,0,89,0,89,7,11,81,77,0,89,81,77
1400000US36029003700,36029003700,"Census Tract 37, Erie County, New York",4298,443,526,187,3697,454,13,20,0,89,0,89,0,89,62,57,0,89,62,57
1400000US36029003800,36029003800,"Census Tract 38, Erie County, New York",3292,414,649,266,2433,416,0,89,0,89,0,89,124,128,86,63,0,89,86,63
1400000US36029003901,36029003901,"Census Tract 39.01, Erie County, New York",979,195,65,43,896,208,0,89,18,28,0,89,0,89,0,89,0,89,0,89
1400000US36029004001,36029004001,"Census Tract 40.01, Erie County, New York",4265,574,603,207,3619,576,0,89,0,89,0,89,0,89,43,50,0,89,43,50
1400000US36029004100,36029004100,"Census Tract 41, Erie County, New York",4705,459,329,145,4166,497,32,38,0,89,0,89,36,57,142,102,0,89,142,102
1400000US36029004200,36029004200,"Census Tract 42, Erie County, New York",3499,493,278,234,3221,437,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029004300,36029004300,"Census Tract 43, Erie County, New York",5633,782,895,266,4209,775,0,89,79,101,0,89,177,137,273,193,34,33,239,176
1400000US36029004401,36029004401,"Census Tract 44.01, Erie County, New York",3759,435,304,99,3329,485,0,89,85,75,0,89,41,44,0,89,0,89,0,89
1400000US36029004402,36029004402,"Census Tract 44.02, Erie County, New York",2809,239,28,30,2694,230,7,13,0,89,0,89,51,71,29,24,0,89,29,24
1400000US36029004500,36029004500,"Census Tract 45, Erie County, New York",5843,383,3935,353,1557,330,30,40,256,179,0,89,52,50,13,21,0,89,13,21
1400000US36029004601,36029004601,"Census Tract 46.01, Erie County, New York",3556,421,1963,330,524,204,0,89,919,340,0,89,0,89,150,116,6,11,144,117
1400000US36029004602,36029004602,"Census Tract 46.02, Erie County, New York",1505,320,835,246,207,103,0,89,351,126,0,89,82,63,30,28,0,89,30,28
1400000US36029004700,36029004700,"Census Tract 47, Erie County, New York",7154,710,1535,414,4816,712,0,89,510,402,0,89,76,80,217,172,60,98,157,155
1400000US36029004800,36029004800,"Census Tract 48, Erie County, New York",4216,372,3467,377,643,371,57,70,0,89,0,89,1,2,48,45,0,89,48,45
1400000US36029004900,36029004900,"Census Tract 49, Erie County, New York",5919,564,4465,517,857,395,61,89,56,52,0,89,340,239,140,103,29,47,111,91
1400000US36029005000,36029005000,"Census Tract 50, Erie County, New York",2489,266,1577,395,785,353,4,8,0,89,0,89,123,191,0,89,0,89,0,89
1400000US36029005100,36029005100,"Census Tract 51, Erie County, New York",4229,438,3357,418,643,246,0,89,27,37,0,89,58,47,144,119,129,121,15,24
1400000US36029005201,36029005201,"Census Tract 52.01, Erie County, New York",3111,383,2288,322,616,159,0,89,149,137,0,89,27,38,31,38,16,27,15,25
1400000US36029005202,36029005202,"Census Tract 52.02, Erie County, New York",2840,556,1055,440,1634,368,11,17,81,49,0,89,10,15,49,41,13,17,36,37
1400000US36029005300,36029005300,"Census Tract 53, Erie County, New York",1491,321,933,255,354,97,7,10,123,70,0,89,14,16,60,49,17,29,43,39
1400000US36029005400,36029005400,"Census Tract 54, Erie County, New York",3944,353,3256,358,411,204,0,89,42,45,0,89,159,165,76,70,0,89,76,70
1400000US36029005500,36029005500,"Census Tract 55, Erie County, New York",4637,547,3054,645,700,378,57,57,657,542,0,89,50,54,119,109,0,89,119,109
1400000US36029005600,36029005600,"Census Tract 56, Erie County, New York",3987,388,2451,414,873,225,28,30,135,180,0,89,244,246,256,155,28,47,228,159
1400000US36029005700,36029005700,"Census Tract 57, Erie County, New York",3017,383,2110,429,458,273,9,14,14,21,0,89,214,193,212,212,0,89,212,212
1400000US36029005801,36029005801,"Census Tract 58.01, Erie County, New York",3683,669,3233,732,197,243,0,89,84,131,0,89,143,197,26,41,0,89,26,41
1400000US36029005802,36029005802,"Census Tract 58.02, Erie County, New York",3823,440,3142,407,362,317,82,97,0,89,0,89,51,50,186,195,0,89,186,195
1400000US36029005900,36029005900,"Census Tract 59, Erie County, New York",3731,477,2753,452,411,215,16,29,222,333,0,89,119,79,210,133,106,105,104,83
1400000US36029006100,36029006100,"Census Tract 61, Erie County, New York",4842,595,2497,499,1226,432,124,100,289,231,0,89,537,297,169,135,10,17,159,134
1400000US36029006201,36029006201,"Census Tract 62.01, Erie County, New York",1907,591,1094,299,410,198,0,89,157,75,9,16,124,113,113,89,12,17,101,89
1400000US36029006301,36029006301,"Census Tract 63.01, Erie County, New York",4526,575,3292,433,303,252,0,89,419,435,0,89,413,237,99,75,14,22,85,71
1400000US36029006302,36029006302,"Census Tract 63.02, Erie County, New York",2776,230,2676,234,8,11,0,89,47,55,0,89,9,14,36,43,0,89,36,43
1400000US36029006501,36029006501,"Census Tract 65.01, Erie County, New York",2813,390,1816,323,290,151,0,89,371,307,0,89,192,130,144,98,0,89,144,98
1400000US36029006601,36029006601,"Census Tract 66.01, Erie County, New York",2993,469,1837,309,187,113,85,66,460,434,10,21,339,220,75,68,0,89,75,68
1400000US36029006602,36029006602,"Census Tract 66.02, Erie County, New York",2123,320,1627,214,432,230,0,89,0,89,13,22,39,40,12,18,12,18,0,89
1400000US36029006701,36029006701,"Census Tract 67.01, Erie County, New York",3392,352,2502,329,346,179,18,26,63,62,0,89,215,142,248,150,0,89,248,150
1400000US36029006702,36029006702,"Census Tract 67.02, Erie County, New York",3327,301,2427,312,736,193,0,89,73,91,0,89,17,21,74,70,0,89,74,70
1400000US36029006800,36029006800,"Census Tract 68, Erie County, New York",3770,380,2762,451,446,161,0,89,110,99,0,89,411,235,41,57,0,89,41,57
1400000US36029006901,36029006901,"Census Tract 69.01, Erie County, New York",3328,541,1501,435,740,298,60,67,198,280,0,89,419,251,410,237,222,157,188,168
1400000US36029006902,36029006902,"Census Tract 69.02, Erie County, New York",3854,624,2236,470,941,401,37,41,74,96,0,89,423,354,143,138,77,100,66,89
1400000US36029007000,36029007000,"Census Tract 70, Erie County, New York",3304,580,1320,282,793,379,25,30,175,147,30,48,797,372,164,144,110,123,54,71
1400000US36029007101,36029007101,"Census Tract 71.01, Erie County, New York",4353,503,1316,322,1755,465,90,94,93,146,0,89,867,366,232,163,108,121,124,103
1400000US36029007102,36029007102,"Census Tract 71.02, Erie County, New York",2614,405,1072,244,1035,254,15,21,14,20,0,89,478,210,0,89,0,89,0,89
1400000US36029007202,36029007202,"Census Tract 72.02, Erie County, New York",1530,156,1036,168,211,87,0,89,46,49,0,89,232,132,5,15,0,89,5,15
1400000US36029007302,36029007302,"Census Tract 73.02, Erie County, New York",7924,222,7390,404,137,108,0,89,370,396,0,89,0,89,27,32,0,89,27,32
1400000US36029007303,36029007303,"Census Tract 73.03, Erie County, New York",6891,252,6196,283,175,113,14,24,351,192,0,89,72,111,83,70,0,89,83,70
1400000US36029007304,36029007304,"Census Tract 73.04, Erie County, New York",5305,211,4992,266,61,68,0,89,104,94,0,89,27,38,121,116,0,89,121,116
1400000US36029007600,36029007600,"Census Tract 76, Erie County, New York",2904,181,2884,180,2,6,18,27,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029007700,36029007700,"Census Tract 77, Erie County, New York",4769,296,4639,320,3,4,0,89,0,89,0,89,22,34,105,132,0,89,105,132
1400000US36029007800,36029007800,"Census Tract 78, Erie County, New York",5238,263,5060,273,0,89,0,89,0,89,0,89,9,14,169,96,40,50,129,79
1400000US36029007901,36029007901,"Census Tract 79.01, Erie County, New York",3094,330,2529,223,43,43,0,89,403,313,0,89,50,80,69,101,0,89,69,101
1400000US36029007902,36029007902,"Census Tract 79.02, Erie County, New York",5939,206,5614,252,121,109,0,89,70,68,0,89,92,136,42,52,0,89,42,52
1400000US36029007903,36029007903,"Census Tract 79.03, Erie County, New York",3376,205,3279,177,71,58,0,89,0,89,0,89,0,89,26,42,26,42,0,89
1400000US36029007904,36029007904,"Census Tract 79.04, Erie County, New York",3039,269,2922,282,25,27,0,89,35,42,0,89,25,30,32,42,0,89,32,42
1400000US36029007905,36029007905,"Census Tract 79.05, Erie County, New York",4552,229,4377,264,0,89,0,89,57,52,0,89,13,21,105,91,23,27,82,85
1400000US36029008001,36029008001,"Census Tract 80.01, Erie County, New York",5751,337,5360,346,178,105,0,89,72,75,0,89,34,52,107,84,0,89,107,84
1400000US36029008002,36029008002,"Census Tract 80.02, Erie County, New York",5607,321,5209,351,97,90,13,21,54,83,0,89,90,99,144,159,0,89,144,159
1400000US36029008003,36029008003,"Census Tract 80.03, Erie County, New York",5650,470,5323,502,159,136,13,21,96,85,0,89,16,25,43,64,2,10,41,61
1400000US36029008101,36029008101,"Census Tract 81.01, Erie County, New York",5497,372,5357,373,15,24,0,89,125,94,0,89,0,89,0,89,0,89,0,89
1400000US36029008102,36029008102,"Census Tract 81.02, Erie County, New York",4655,288,4463,304,104,83,0,89,57,53,0,89,6,25,25,24,0,89,25,24
1400000US36029008201,36029008201,"Census Tract 82.01, Erie County, New York",2352,156,2284,152,37,42,0,89,0,89,0,89,0,89,31,45,0,89,31,45
1400000US36029008202,36029008202,"Census Tract 82.02, Erie County, New York",3653,289,3461,275,15,10,0,89,118,166,0,89,11,18,48,48,25,39,23,25
1400000US36029008300,36029008300,"Census Tract 83, Erie County, New York",2761,270,1994,318,480,263,0,89,1,2,0,89,72,98,214,129,0,89,214,129
1400000US36029008400,36029008400,"Census Tract 84, Erie County, New York",2416,216,2400,217,16,20,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029008500,36029008500,"Census Tract 85, Erie County, New York",2516,159,2437,163,46,51,0,89,12,17,0,89,15,24,6,10,0,89,6,10
1400000US36029008600,36029008600,"Census Tract 86, Erie County, New York",4576,349,4399,343,14,21,0,89,47,42,0,89,1,2,115,124,0,89,115,124
1400000US36029008700,36029008700,"Census Tract 87, Erie County, New York",4863,384,4550,410,277,262,21,33,0,89,0,89,0,89,15,26,0,89,15,26
1400000US36029008800,36029008800,"Census Tract 88, Erie County, New York",3515,321,3205,347,0,89,132,176,21,34,0,89,51,58,106,98,0,89,106,98
1400000US36029008900,36029008900,"Census Tract 89, Erie County, New York",4202,247,4079,243,24,25,0,89,10,17,0,89,62,81,27,42,0,89,27,42
1400000US36029009004,36029009004,"Census Tract 90.04, Erie County, New York",3546,270,3072,234,66,60,33,33,62,54,0,89,0,89,313,190,0,89,313,190
1400000US36029009006,36029009006,"Census Tract 90.06, Erie County, New York",7428,349,6348,397,375,166,36,46,654,177,0,89,15,24,0,89,0,89,0,89
1400000US36029009007,36029009007,"Census Tract 90.07, Erie County, New York",7752,459,6424,444,61,63,0,89,1172,281,0,89,18,31,77,69,0,89,77,69
1400000US36029009008,36029009008,"Census Tract 90.08, Erie County, New York",4766,339,3952,303,149,115,51,76,482,125,0,89,65,103,67,74,12,28,55,71
1400000US36029009009,36029009009,"Census Tract 90.09, Erie County, New York",4990,274,4221,343,254,202,0,89,300,133,0,89,7,11,208,157,0,89,208,157
1400000US36029009010,36029009010,"Census Tract 90.10, Erie County, New York",5339,342,4171,385,376,204,28,41,504,205,53,80,80,83,127,208,0,89,127,208
1400000US36029009104,36029009104,"Census Tract 91.04, Erie County, New York",4185,170,3695,285,169,117,0,89,272,205,0,89,0,89,49,46,0,89,49,46
1400000US36029009106,36029009106,"Census Tract 91.06, Erie County, New York",3150,344,2653,327,307,217,1,4,50,52,0,89,18,29,121,184,0,89,121,184
1400000US36029009107,36029009107,"Census Tract 91.07, Erie County, New York",4555,439,3375,456,528,327,11,21,243,133,0,89,133,153,265,197,11,22,254,197
1400000US36029009109,36029009109,"Census Tract 91.09, Erie County, New York",3110,194,2317,180,16,20,15,21,726,232,0,89,16,26,20,30,0,89,20,30
1400000US36029009110,36029009110,"Census Tract 91.10, Erie County, New York",5552,920,3574,689,670,227,36,64,947,354,0,89,174,110,151,126,15,20,136,125
1400000US36029009112,36029009112,"Census Tract 91.12, Erie County, New York",2915,361,2527,371,196,152,16,17,176,120,0,89,0,89,0,89,0,89,0,89
1400000US36029009113,36029009113,"Census Tract 91.13, Erie County, New York",6836,263,6319,281,158,139,16,21,331,183,0,89,0,89,12,22,0,89,12,22
1400000US36029009114,36029009114,"Census Tract 91.14, Erie County, New York",3898,238,3541,287,104,92,8,12,139,96,0,89,29,35,77,82,9,14,68,80
1400000US36029009115,36029009115,"Census Tract 91.15, Erie County, New York",3208,401,2727,380,96,98,0,89,369,223,0,89,12,19,4,9,0,89,4,9
1400000US36029009116,36029009116,"Census Tract 91.16, Erie County, New York",5115,390,4237,406,391,241,16,26,333,134,0,89,110,139,28,42,28,42,0,89
1400000US36029009200,36029009200,"Census Tract 92, Erie County, New York",4249,388,3373,389,239,200,12,18,588,315,0,89,13,21,24,42,0,89,24,42
1400000US36029009301,36029009301,"Census Tract 93.01, Erie County, New York",5287,394,3249,355,862,175,0,89,907,404,0,89,134,120,135,118,85,93,50,67
1400000US36029009302,36029009302,"Census Tract 93.02, Erie County, New York",2861,234,2525,244,196,170,0,89,73,74,0,89,14,26,53,51,0,89,53,51
1400000US36029009401,36029009401,"Census Tract 94.01, Erie County, New York",5947,344,4912,421,564,400,0,89,307,213,0,89,0,89,164,162,16,22,148,159
1400000US36029009402,36029009402,"Census Tract 94.02, Erie County, New York",4548,245,4269,255,75,66,0,89,102,78,0,89,30,49,72,56,21,34,51,45
1400000US36029009501,36029009501,"Census Tract 95.01, Erie County, New York",4952,326,4345,297,507,146,0,89,51,58,0,89,26,43,23,25,0,89,23,25
1400000US36029009502,36029009502,"Census Tract 95.02, Erie County, New York",7082,390,6376,432,265,198,0,89,253,213,0,89,26,31,162,130,14,22,148,130
1400000US36029009600,36029009600,"Census Tract 96, Erie County, New York",5993,432,5218,432,204,137,0,89,348,137,0,89,145,160,78,81,0,89,78,81
1400000US36029009701,36029009701,"Census Tract 97.01, Erie County, New York",3208,158,3185,159,0,89,0,89,11,19,0,89,0,89,12,19,12,19,0,89
1400000US36029009702,36029009702,"Census Tract 97.02, Erie County, New York",4555,172,4273,266,41,46,0,89,39,51,0,89,0,89,202,146,0,89,202,146
1400000US36029009800,36029009800,"Census Tract 98, Erie County, New York",1660,136,1657,135,3,6,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029009900,36029009900,"Census Tract 99, Erie County, New York",3666,18,3444,165,95,91,0,89,91,139,0,89,0,89,36,53,0,89,36,53
1400000US36029010001,36029010001,"Census Tract 100.01, Erie County, New York",2660,242,2547,231,70,114,0,89,0,89,0,89,43,71,0,89,0,89,0,89
1400000US36029010002,36029010002,"Census Tract 100.02, Erie County, New York",4013,308,3938,287,26,42,0,89,0,89,0,89,0,89,49,49,0,89,49,49
1400000US36029010003,36029010003,"Census Tract 100.03, Erie County, New York",3858,228,3651,262,143,139,61,75,1,2,0,89,2,5,0,89,0,89,0,89
1400000US36029010101,36029010101,"Census Tract 101.01, Erie County, New York",4582,233,4201,374,323,263,0,89,0,89,22,35,0,89,36,57,0,89,36,57
1400000US36029010102,36029010102,"Census Tract 101.02, Erie County, New York",3701,236,2660,365,760,356,0,89,261,189,0,89,0,89,20,24,0,89,20,24
1400000US36029010103,36029010103,"Census Tract 101.03, Erie County, New York",3848,194,3531,222,189,114,18,29,52,40,0,89,58,85,0,89,0,89,0,89
1400000US36029010201,36029010201,"Census Tract 102.01, Erie County, New York",3084,317,2190,297,680,315,0,89,13,19,0,89,143,199,58,76,0,89,58,76
1400000US36029010202,36029010202,"Census Tract 102.02, Erie County, New York",4020,438,1815,273,1905,459,5,10,105,93,0,89,49,51,141,108,5,10,136,108
1400000US36029010300,36029010300,"Census Tract 103, Erie County, New York",1207,197,707,155,260,117,45,49,21,36,0,89,117,115,57,76,9,16,48,75
1400000US36029010400,36029010400,"Census Tract 104, Erie County, New York",2023,193,1524,192,373,147,0,89,122,82,0,89,4,10,0,89,0,89,0,89
1400000US36029010500,36029010500,"Census Tract 105, Erie County, New York",2434,252,1678,254,645,245,0,89,51,81,0,89,15,22,45,70,0,89,45,70
1400000US36029010600,36029010600,"Census Tract 106, Erie County, New York",2536,222,2390,220,37,39,41,60,37,47,0,89,0,89,31,47,31,47,0,89
1400000US36029010700,36029010700,"Census Tract 107, Erie County, New York",2894,269,2684,302,100,81,42,63,44,61,0,89,17,26,7,12,7,12,0,89
1400000US36029010803,36029010803,"Census Tract 108.03, Erie County, New York",2153,155,2148,154,5,9,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029010804,36029010804,"Census Tract 108.04, Erie County, New York",3867,263,3521,312,269,175,0,89,68,81,0,89,0,89,9,16,0,89,9,16
1400000US36029010805,36029010805,"Census Tract 108.05, Erie County, New York",5323,276,5156,289,2,4,72,84,54,59,0,89,0,89,39,60,0,89,39,60
1400000US36029010807,36029010807,"Census Tract 108.07, Erie County, New York",5129,285,4690,300,326,177,42,51,14,21,0,89,0,89,57,55,0,89,57,55
1400000US36029010808,36029010808,"Census Tract 108.08, Erie County, New York",3939,330,3146,412,413,234,61,61,72,91,0,89,131,135,116,99,22,32,94,93
1400000US36029010809,36029010809,"Census Tract 108.09, Erie County, New York",3180,236,3136,233,27,43,8,12,0,89,0,89,9,17,0,89,0,89,0,89
1400000US36029010901,36029010901,"Census Tract 109.01, Erie County, New York",2497,183,2410,174,26,26,0,89,51,52,0,89,0,89,10,15,0,89,10,15
1400000US36029010902,36029010902,"Census Tract 109.02, Erie County, New York",4551,313,4066,368,381,197,18,27,64,87,0,89,0,89,22,26,0,89,22,26
1400000US36029011000,36029011000,"Census Tract 110, Erie County, New York",1959,143,1617,183,43,42,16,26,90,114,0,89,0,89,193,172,0,89,193,172
1400000US36029011100,36029011100,"Census Tract 111, Erie County, New York",2016,122,2016,122,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029011200,36029011200,"Census Tract 112, Erie County, New York",7109,396,6989,387,26,43,19,31,13,24,0,89,0,89,62,81,13,21,49,78
1400000US36029011300,36029011300,"Census Tract 113, Erie County, New York",5087,396,4752,390,64,63,0,89,83,109,0,89,10,16,178,115,15,23,163,112
1400000US36029011400,36029011400,"Census Tract 114, Erie County, New York",1986,437,1953,442,19,32,3,7,0,89,0,89,11,19,0,89,0,89,0,89
1400000US36029011500,36029011500,"Census Tract 115, Erie County, New York",1620,154,1564,160,10,15,23,35,0,89,0,89,0,89,23,37,0,89,23,37
1400000US36029011600,36029011600,"Census Tract 116, Erie County, New York",1891,114,1839,128,0,89,9,16,31,39,0,89,0,89,12,19,0,89,12,19
1400000US36029011700,36029011700,"Census Tract 117, Erie County, New York",4256,318,4174,320,32,29,0,89,0,89,0,89,0,89,50,55,0,89,50,55
1400000US36029011800,36029011800,"Census Tract 118, Erie County, New York",3514,194,3483,208,19,45,3,12,0,89,0,89,0,89,9,16,0,89,9,16
1400000US36029012001,36029012001,"Census Tract 120.01, Erie County, New York",3993,183,3837,259,1,3,0,89,0,89,0,89,110,158,45,58,0,89,45,58
1400000US36029012002,36029012002,"Census Tract 120.02, Erie County, New York",3355,201,3302,219,27,39,0,89,0,89,0,89,11,16,15,28,0,89,15,28
1400000US36029012003,36029012003,"Census Tract 120.03, Erie County, New York",4734,225,4613,226,38,40,0,89,49,41,0,89,9,14,25,22,15,15,10,16
1400000US36029012300,36029012300,"Census Tract 123, Erie County, New York",3152,388,2935,397,34,44,0,89,0,89,0,89,0,89,183,171,27,38,156,143
1400000US36029012400,36029012400,"Census Tract 124, Erie County, New York",2128,278,2120,279,0,89,0,89,0,89,0,89,8,12,0,89,0,89,0,89
1400000US36029012501,36029012501,"Census Tract 125.01, Erie County, New York",4931,461,4675,469,31,40,12,19,32,50,0,89,135,182,46,45,0,89,46,45
1400000US36029012502,36029012502,"Census Tract 125.02, Erie County, New York",1898,215,1640,306,83,136,0,89,0,89,0,89,175,195,0,89,0,89,0,89
1400000US36029012800,36029012800,"Census Tract 128, Erie County, New York",2557,23,2416,122,45,48,0,89,16,23,0,89,0,89,80,96,0,89,80,96
1400000US36029012901,36029012901,"Census Tract 129.01, Erie County, New York",6960,378,6520,391,232,122,0,89,146,158,0,89,0,89,62,47,0,89,62,47
1400000US36029012902,36029012902,"Census Tract 129.02, Erie County, New York",3833,230,3709,228,60,54,33,41,31,47,0,89,0,89,0,89,0,89,0,89
1400000US36029013001,36029013001,"Census Tract 130.01, Erie County, New York",3096,244,3040,240,56,90,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029013002,36029013002,"Census Tract 130.02, Erie County, New York",4965,273,4898,278,55,50,5,9,0,89,0,89,0,89,7,12,0,89,7,12
1400000US36029013101,36029013101,"Census Tract 131.01, Erie County, New York",6363,308,6180,301,166,167,0,89,0,89,0,89,0,89,17,26,0,89,17,26
1400000US36029013102,36029013102,"Census Tract 131.02, Erie County, New York",7795,283,7440,305,120,147,0,89,14,21,0,89,73,78,148,136,15,24,133,117
1400000US36029013201,36029013201,"Census Tract 132.01, Erie County, New York",6082,363,5913,378,0,89,59,67,62,97,0,89,0,89,48,57,0,89,48,57
1400000US36029013202,36029013202,"Census Tract 132.02, Erie County, New York",5117,259,5061,254,5,10,0,89,0,89,0,89,14,21,37,51,0,89,37,51
1400000US36029013300,36029013300,"Census Tract 133, Erie County, New York",3567,178,3377,211,8,13,8,13,72,76,0,89,0,89,102,98,58,86,44,53
1400000US36029013400,36029013400,"Census Tract 134, Erie County, New York",6352,279,6306,278,19,28,17,28,0,89,0,89,10,21,0,89,0,89,0,89
1400000US36029013501,36029013501,"Census Tract 135.01, Erie County, New York",6945,316,6769,333,62,49,26,35,4,9,0,89,35,39,49,59,0,89,49,59
1400000US36029013502,36029013502,"Census Tract 135.02, Erie County, New York",7280,301,7165,334,23,39,0,89,8,15,0,89,32,36,52,86,0,89,52,86
1400000US36029013600,36029013600,"Census Tract 136, Erie County, New York",3189,218,3086,232,94,102,0,89,0,89,0,89,0,89,9,15,0,89,9,15
1400000US36029013701,36029013701,"Census Tract 137.01, Erie County, New York",5933,407,5829,392,40,53,17,26,28,31,0,89,0,89,19,30,19,30,0,89
1400000US36029013702,36029013702,"Census Tract 137.02, Erie County, New York",5472,382,5377,393,22,30,0,89,28,33,0,89,0,89,45,66,0,89,45,66
1400000US36029013800,36029013800,"Census Tract 138, Erie County, New York",7569,215,7400,215,14,20,0,89,71,60,0,89,46,62,38,48,0,89,38,48
1400000US36029013900,36029013900,"Census Tract 139, Erie County, New York",2405,196,2399,195,6,13,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029014000,36029014000,"Census Tract 140, Erie County, New York",3789,188,3661,200,57,59,6,10,45,49,0,89,0,89,20,25,6,9,14,23
1400000US36029014101,36029014101,"Census Tract 141.01, Erie County, New York",6038,265,6038,265,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36029014102,36029014102,"Census Tract 141.02, Erie County, New York",5221,266,4935,374,284,374,0,89,0,89,0,89,2,5,0,89,0,89,0,89
1400000US36029014204,36029014204,"Census Tract 142.04, Erie County, New York",3587,248,3496,248,25,24,20,22,0,89,0,89,0,89,46,33,11,16,35,33
1400000US36029014206,36029014206,"Census Tract 142.06, Erie County, New York",7113,260,6963,279,0,89,12,19,33,53,0,89,10,15,95,138,0,89,95,138
